Time (s),Extension (mm),Load (N),Tensile stress(MPa),Tensile strain (mm/mm)(Extension)
0,0,0.85,0.09,0
0.1,0.004,0.94,0.1,0
0.2,0.013,3.83,0.41,0
0.3,0.024,8.57,0.91,0
0.4,0.033,12.68,1.34,0
0.5,0.042,16.46,1.74,0
0.6,0.05,19.67,2.08,0
0.7,0.059,23.08,2.44,0
0.8,0.067,26.5,2.81,0
0.9,0.075,29.68,3.14,0
1,0.084,32.74,3.47,0
1.1,0.092,35.6,3.77,0
1.2,0.1,38.92,4.12,0
1.3,0.109,41.97,4.44,0
1.4,0.117,45.2,4.78,0
1.5,0.125,48.16,5.1,0.01
1.6,0.133,51.35,5.44,0.01
1.7,0.142,54.4,5.76,0.01
1.8,0.15,57.28,6.06,0.01
1.9,0.159,60.17,6.37,0.01
2,0.167,63.17,6.69,0.01
2.1,0.175,65.96,6.98,0.01
2.2,0.183,68.56,7.26,0.01
2.3,0.192,71.53,7.57,0.01
2.4,0.2,74.06,7.84,0.01
2.5,0.209,76.75,8.12,0.01
2.6,0.217,79.38,8.4,0.01
2.7,0.225,81.96,8.68,0.01
2.8,0.233,84.63,8.96,0.01
2.9,0.242,87.1,9.22,0.01
3,0.25,89.5,9.47,0.01
3.1,0.259,91.89,9.73,0.01
3.2,0.267,94.58,10.01,0.01
3.3,0.275,97.06,10.27,0.01
3.4,0.283,100,10.59,0.01
3.5,0.292,102.69,10.87,0.01
3.6,0.3,105.42,11.16,0.01
3.7,0.308,108.17,11.45,0.01
3.8,0.317,110.87,11.74,0.01
3.9,0.325,113.57,12.02,0.01
4,0.334,116.13,12.29,0.01
4.1,0.342,118.77,12.57,0.01
4.2,0.35,121.43,12.85,0.01
4.3,0.358,124.04,13.13,0.01
4.4,0.367,126.52,13.39,0.01
4.5,0.375,129.28,13.68,0.02
4.6,0.384,131.66,13.94,0.02
4.7,0.392,134.09,14.19,0.02
4.8,0.4,136.57,14.46,0.02
4.9,0.408,139.03,14.72,0.02
5,0.417,141.7,15,0.02
5.1,0.425,144.2,15.26,0.02
5.2,0.434,146.51,15.51,0.02
5.3,0.442,148.8,15.75,0.02
5.4,0.45,151.22,16.01,0.02
5.5,0.458,153.66,16.27,0.02
5.6,0.467,156.06,16.52,0.02
5.7,0.475,158.38,16.77,0.02
5.8,0.484,160.69,17.01,0.02
5.9,0.492,163.15,17.27,0.02
6,0.5,165.14,17.48,0.02
6.1,0.509,167.36,17.72,0.02
6.2,0.517,169.55,17.95,0.02
6.3,0.525,171.77,18.18,0.02
6.4,0.533,173.93,18.41,0.02
6.5,0.542,175.78,18.61,0.02
6.6,0.55,178.2,18.86,0.02
6.7,0.559,180.26,19.08,0.02
6.8,0.567,182.21,19.29,0.02
6.9,0.575,184.29,19.51,0.02
7,0.583,186.4,19.73,0.02
7.1,0.592,188.19,19.92,0.02
7.2,0.6,190.34,20.15,0.02
7.3,0.609,192.19,20.34,0.02
7.4,0.617,194.11,20.55,0.02
7.5,0.625,196.13,20.76,0.03
7.6,0.633,197.88,20.95,0.03
7.7,0.642,199.88,21.16,0.03
7.8,0.65,201.52,21.33,0.03
7.9,0.659,203.31,21.52,0.03
8,0.667,205.06,21.71,0.03
8.1,0.675,206.58,21.87,0.03
8.2,0.684,208.61,22.08,0.03
8.3,0.692,210.13,22.24,0.03
8.4,0.7,211.84,22.42,0.03
8.5,0.709,213.27,22.58,0.03
8.6,0.717,214.83,22.74,0.03
8.7,0.725,216.59,22.93,0.03
8.8,0.733,218,23.08,0.03
8.9,0.742,219.52,23.24,0.03
9,0.75,220.93,23.39,0.03
9.1,0.758,222.62,23.57,0.03
9.2,0.767,223.96,23.71,0.03
9.3,0.775,225.22,23.84,0.03
9.4,0.783,226.76,24,0.03
9.5,0.792,228.14,24.15,0.03
9.6,0.8,229.38,24.28,0.03
9.7,0.808,230.58,24.41,0.03
9.8,0.817,231.7,24.53,0.03
9.9,0.825,233.18,24.68,0.03
10,0.834,234.13,24.78,0.03
10.1,0.842,235.37,24.91,0.03
10.2,0.85,236.38,25.02,0.03
10.3,0.858,237.15,25.1,0.03
10.4,0.867,237.76,25.17,0.03
10.5,0.875,238.85,25.28,0.04
10.6,0.883,239.16,25.32,0.04
10.7,0.892,239.43,25.34,0.04
10.8,0.9,239.71,25.37,0.04
10.9,0.908,239.8,25.38,0.04
11,0.917,239.83,25.39,0.04
11.1,0.925,239.82,25.39,0.04
11.2,0.933,239.68,25.37,0.04
11.3,0.942,239.52,25.35,0.04
11.4,0.95,239.47,25.35,0.04
11.5,0.959,239.42,25.34,0.04
11.6,0.967,239.33,25.33,0.04
11.7,0.975,239.17,25.32,0.04
11.8,0.983,238.99,25.3,0.04
11.9,0.992,238.83,25.28,0.04
12,1,238.15,25.21,0.04
12.1,1.009,237.66,25.16,0.04
12.2,1.017,237.27,25.12,0.04
12.3,1.025,236.81,25.07,0.04
12.4,1.033,236.23,25.01,0.04
12.5,1.042,235.55,24.93,0.04
12.6,1.05,234.71,24.84,0.04
12.7,1.059,233.61,24.73,0.04
12.8,1.067,232.99,24.66,0.04
12.9,1.075,231.72,24.53,0.04
13,1.083,230.85,24.44,0.04
13.1,1.092,229.87,24.33,0.04
13.2,1.1,229.01,24.24,0.04
13.3,1.109,227.83,24.12,0.04
13.4,1.117,226.89,24.02,0.04
13.5,1.125,225.8,23.9,0.05
13.6,1.133,225,23.82,0.05
13.7,1.142,224.29,23.74,0.05
13.8,1.15,223.26,23.63,0.05
13.9,1.158,222.44,23.55,0.05
14,1.167,221.3,23.43,0.05
14.1,1.175,220.7,23.36,0.05
14.2,1.183,219.82,23.27,0.05
14.3,1.192,218.89,23.17,0.05
14.4,1.2,218.02,23.08,0.05
14.5,1.208,217.18,22.99,0.05
14.6,1.217,216.42,22.91,0.05
14.7,1.225,215.12,22.77,0.05
14.8,1.234,214.57,22.71,0.05
14.9,1.242,213.35,22.58,0.05
15,1.25,212.32,22.48,0.05
15.1,1.258,211.52,22.39,0.05
15.2,1.267,210.5,22.28,0.05
15.3,1.275,209.17,22.14,0.05
15.4,1.284,208.58,22.08,0.05
15.5,1.292,207.64,21.98,0.05
15.6,1.3,206.46,21.85,0.05
15.7,1.308,205.89,21.79,0.05
15.8,1.317,205.12,21.71,0.05
15.9,1.325,204.31,21.63,0.05
16,1.333,203.89,21.58,0.05
16.1,1.342,203.15,21.5,0.05
16.2,1.35,202.73,21.46,0.05
16.3,1.358,202.41,21.43,0.05
16.4,1.367,201.75,21.36,0.05
16.5,1.375,201.12,21.29,0.06
16.6,1.384,200.63,21.24,0.06
16.7,1.392,200.18,21.19,0.06
16.8,1.4,199.98,21.17,0.06
16.9,1.409,199.67,21.14,0.06
17,1.417,199.07,21.07,0.06
17.1,1.425,198.54,21.02,0.06
17.2,1.433,198.07,20.97,0.06
17.3,1.442,197.64,20.92,0.06
17.4,1.45,197.17,20.87,0.06
17.5,1.459,196.73,20.82,0.06
17.6,1.467,196.39,20.79,0.06
17.7,1.475,195.8,20.73,0.06
17.8,1.483,195.3,20.67,0.06
17.9,1.492,194.56,20.6,0.06
18,1.5,194.03,20.54,0.06
18.1,1.508,193.69,20.5,0.06
18.2,1.517,192.79,20.41,0.06
18.3,1.525,192.01,20.32,0.06
18.4,1.534,191.14,20.23,0.06
18.5,1.542,189.98,20.11,0.06
18.6,1.55,188.51,19.95,0.06
18.7,1.559,187.2,19.82,0.06
18.8,1.567,185.56,19.64,0.06
18.9,1.575,184,19.48,0.06
19,1.583,182.86,19.36,0.06
19.1,1.592,181.63,19.23,0.06
19.2,1.6,181.03,19.16,0.06
19.3,1.609,180.14,19.07,0.06
19.4,1.617,179.59,19.01,0.06
19.5,1.625,178.9,18.94,0.07
19.6,1.634,178.55,18.9,0.07
19.7,1.642,178.05,18.85,0.07
19.8,1.65,177.56,18.8,0.07
19.9,1.659,177.17,18.75,0.07
20,1.667,176.75,18.71,0.07
20.1,1.675,175.96,18.63,0.07
20.2,1.683,175.58,18.59,0.07
20.3,1.692,175.39,18.57,0.07
20.4,1.7,175.26,18.55,0.07
20.5,1.708,174.96,18.52,0.07
20.6,1.717,174.63,18.48,0.07
20.7,1.725,174.14,18.43,0.07
20.8,1.733,173.86,18.4,0.07
20.9,1.742,173.45,18.36,0.07
21,1.75,173.12,18.33,0.07
21.1,1.758,172.84,18.3,0.07
21.2,1.767,172.66,18.28,0.07
21.3,1.775,172.33,18.24,0.07
21.4,1.784,172.15,18.22,0.07
21.5,1.792,171.9,18.2,0.07
21.6,1.8,171.57,18.16,0.07
21.7,1.809,171.34,18.14,0.07
21.8,1.817,171.16,18.12,0.07
21.9,1.825,170.8,18.08,0.07
22,1.834,170.5,18.05,0.07
22.1,1.842,170.07,18,0.07
22.2,1.85,169.68,17.96,0.07
22.3,1.858,169.49,17.94,0.07
22.4,1.867,169.29,17.92,0.07
22.5,1.875,168.97,17.89,0.08
22.6,1.883,168.25,17.81,0.08
22.7,1.892,167.48,17.73,0.08
22.8,1.9,166.93,17.67,0.08
22.9,1.909,166.44,17.62,0.08
23,1.917,165.52,17.52,0.08
23.1,1.925,164.57,17.42,0.08
23.2,1.933,163.64,17.32,0.08
23.3,1.942,163.18,17.27,0.08
23.4,1.95,162.51,17.2,0.08
23.5,1.959,161.53,17.1,0.08
23.6,1.967,160.78,17.02,0.08
23.7,1.975,160.31,16.97,0.08
23.8,1.983,159.59,16.89,0.08
23.9,1.992,158.9,16.82,0.08
24,2,158.56,16.78,0.08
24.1,2.009,158.09,16.73,0.08
24.2,2.017,157.54,16.68,0.08
24.3,2.025,157.24,16.64,0.08
24.4,2.034,156.96,16.61,0.08
24.5,2.042,156.47,16.56,0.08
24.6,2.05,156.19,16.53,0.08
24.7,2.058,155.59,16.47,0.08
24.8,2.067,155.28,16.44,0.08
24.9,2.075,154.99,16.41,0.08
25,2.083,154.66,16.37,0.08
25.1,2.092,154.5,16.35,0.08
25.2,2.1,154.16,16.32,0.08
25.3,2.108,153.8,16.28,0.08
25.4,2.117,153.3,16.23,0.08
25.5,2.125,152.91,16.19,0.09
25.6,2.134,152.63,16.16,0.09
25.7,2.142,152.2,16.11,0.09
25.8,2.15,151.74,16.06,0.09
25.9,2.159,151.34,16.02,0.09
26,2.167,151.03,15.99,0.09
26.1,2.175,150.71,15.95,0.09
26.2,2.184,150.4,15.92,0.09
26.3,2.192,150,15.88,0.09
26.4,2.2,149.76,15.85,0.09
26.5,2.208,149.34,15.81,0.09
26.6,2.217,149.05,15.78,0.09
26.7,2.225,148.76,15.75,0.09
26.8,2.233,148.54,15.72,0.09
26.9,2.242,148.39,15.71,0.09
27,2.25,148.16,15.68,0.09
27.1,2.258,147.97,15.66,0.09
27.2,2.267,147.7,15.63,0.09
27.3,2.275,147.33,15.6,0.09
27.4,2.283,146.87,15.55,0.09
27.5,2.292,146.65,15.52,0.09
27.6,2.3,146.44,15.5,0.09
27.7,2.308,146.18,15.47,0.09
27.8,2.317,145.85,15.44,0.09
27.9,2.325,145.5,15.4,0.09
28,2.333,145.11,15.36,0.09
28.1,2.342,144.96,15.34,0.09
28.2,2.35,144.74,15.32,0.09
28.3,2.359,144.66,15.31,0.09
28.4,2.367,144.47,15.29,0.09
28.5,2.375,144.3,15.27,0.1
28.6,2.384,144.16,15.26,0.1
28.7,2.392,144.03,15.25,0.1
28.8,2.4,143.94,15.24,0.1
28.9,2.409,143.91,15.23,0.1
29,2.417,143.83,15.23,0.1
29.1,2.425,143.81,15.22,0.1
29.2,2.433,143.83,15.22,0.1
29.3,2.442,143.72,15.21,0.1
29.4,2.45,143.66,15.21,0.1
29.5,2.458,143.64,15.2,0.1
29.6,2.467,143.54,15.19,0.1
29.7,2.475,143.42,15.18,0.1
29.8,2.483,143.32,15.17,0.1
29.9,2.492,143.23,15.16,0.1
30,2.5,143.2,15.16,0.1
30.1,2.508,143.11,15.15,0.1
30.2,2.517,142.88,15.12,0.1
30.3,2.525,142.76,15.11,0.1
30.4,2.534,142.62,15.1,0.1
30.5,2.542,142.4,15.07,0.1
30.6,2.55,142.29,15.06,0.1
30.7,2.558,142.24,15.06,0.1
30.8,2.567,142.19,15.05,0.1
30.9,2.575,142.1,15.04,0.1
31,2.583,141.98,15.03,0.1
31.1,2.592,141.87,15.02,0.1
31.2,2.6,141.69,15,0.1
31.3,2.608,141.49,14.98,0.1
31.4,2.617,140.98,14.92,0.1
31.5,2.625,140.55,14.88,0.11
31.6,2.633,140.23,14.84,0.11
31.7,2.642,139.91,14.81,0.11
31.8,2.65,139.6,14.78,0.11
31.9,2.658,139.3,14.75,0.11
32,2.667,139.04,14.72,0.11
32.1,2.675,138.87,14.7,0.11
32.2,2.684,138.74,14.69,0.11
32.3,2.692,138.6,14.67,0.11
32.4,2.7,138.53,14.66,0.11
32.5,2.709,138.49,14.66,0.11
32.6,2.717,138.45,14.66,0.11
32.7,2.725,138.42,14.65,0.11
32.8,2.733,138.36,14.65,0.11
32.9,2.742,138.27,14.64,0.11
33,2.75,138.18,14.63,0.11
33.1,2.759,138.02,14.61,0.11
33.2,2.767,137.82,14.59,0.11
33.3,2.775,137.63,14.57,0.11
33.4,2.783,137.44,14.55,0.11
33.5,2.792,137.26,14.53,0.11
33.6,2.8,136.83,14.48,0.11
33.7,2.808,136.55,14.45,0.11
33.8,2.817,136.3,14.43,0.11
33.9,2.825,136.11,14.41,0.11
34,2.833,136.05,14.4,0.11
34.1,2.842,135.78,14.37,0.11
34.2,2.85,135.58,14.35,0.11
34.3,2.858,135.14,14.31,0.11
34.4,2.867,134.81,14.27,0.11
34.5,2.875,134.49,14.24,0.12
34.6,2.883,134.2,14.21,0.12
34.7,2.892,133.89,14.17,0.12
34.8,2.9,133.7,14.15,0.12
34.9,2.909,133.56,14.14,0.12
35,2.917,133.37,14.12,0.12
35.1,2.925,133.22,14.1,0.12
35.2,2.934,133.17,14.1,0.12
35.3,2.942,133.02,14.08,0.12
35.4,2.95,132.76,14.05,0.12
35.5,2.959,132.65,14.04,0.12
35.6,2.967,132.44,14.02,0.12
35.7,2.975,132.28,14,0.12
35.8,2.983,132.2,13.99,0.12
35.9,2.992,132.08,13.98,0.12
36,3,131.9,13.96,0.12
36.1,3.008,131.52,13.92,0.12
36.2,3.017,131.28,13.9,0.12
36.3,3.025,130.82,13.85,0.12
36.4,3.033,130.46,13.81,0.12
36.5,3.042,130.13,13.78,0.12
36.6,3.05,130.01,13.76,0.12
36.7,3.058,129.97,13.76,0.12
36.8,3.067,129.77,13.74,0.12
36.9,3.075,129.37,13.69,0.12
37,3.084,128.79,13.63,0.12
37.1,3.092,128.34,13.59,0.12
37.2,3.1,127.74,13.52,0.12
37.3,3.109,127.18,13.46,0.12
37.4,3.117,126.14,13.35,0.12
37.5,3.125,125.14,13.25,0.13
37.6,3.133,124.03,13.13,0.13
37.7,3.142,123.5,13.07,0.13
37.8,3.15,122.26,12.94,0.13
37.9,3.159,121.57,12.87,0.13
38,3.167,121.22,12.83,0.13
38.1,3.175,120.69,12.78,0.13
38.2,3.183,120.18,12.72,0.13
38.274,3.19,119.92,12.69,0.13